;Unnamed: 0;Value;tweet;cleaning;tweet_tokens;tweet_tokens_fdist;tweet_token_WSW;normalization;text_stemming;tweet_stopwords
497;497;Negatif;plindungi selamat pagi kami diminta peduli dan melindungi tapi ketika kami meminta solusi dan arahan seperti apa ketika ada kendala di pedulilindungi apakah peduli cek dm min;plindungi selamat pagi kami diminta peduli dan melindungi tapi ketika kami meminta solusi dan arahan seperti apa ketika ada kendala di pedulilindungi apakah peduli cek dm min;['plindungi', 'selamat', 'pagi', 'kami', 'diminta', 'peduli', 'dan', 'melindungi', 'tapi', 'ketika', 'kami', 'meminta', 'solusi', 'dan', 'arahan', 'seperti', 'apa', 'ketika', 'ada', 'kendala', 'di', 'pedulilindungi', 'apakah', 'peduli', 'cek', 'dm', 'min'];<FreqDist with 23 samples and 27 outcomes>;['selamat', 'pagi', 'peduli', 'melindungi', 'solusi', 'arahan', 'kendala', 'pedulilindungi', 'peduli', 'cek', 'dm'];plindungi selamat pagi peduli melindungi solusi arahan kendala pedulilindungi peduli cek dm;selamat pagi peduli lindung solusi arah kendala pedulilindungi peduli cek dm;['plindungi', 'selamat', 'pagi', 'peduli', 'melindungi', 'solusi', 'arahan', 'kendala', 'pedulilindungi', 'peduli', 'cek', 'dm']
498;498;Negatif;plindungi selamat pagi mohon dibantu saya vaksin tgl  agustus pakai astrazeneca utk vaksin ke nya saya dpt jadwal tgl  november di bukti surat kcl yg dksh dr sana tp di pedulilindungi ada jadwal saya hrs vaksin ke tgl  october yg bener yg ma;plindungi selamat pagi mohon dibantu saya vaksin tgl agustus pakai astrazeneca utk vaksin ke nya saya dpt jadwal tgl november di bukti surat kcl yg dksh dr sana tp di pedulilindungi ada jadwal saya hrs vaksin ke tgl october yg bener yg ma;['plindungi', 'selamat', 'pagi', 'mohon', 'dibantu', 'saya', 'vaksin', 'tgl', 'agustus', 'pakai', 'astrazeneca', 'utk', 'vaksin', 'ke', 'nya', 'saya', 'dpt', 'jadwal', 'tgl', 'november', 'di', 'bukti', 'surat', 'kcl', 'yg', 'dksh', 'dr', 'sana', 'tp', 'di', 'pedulilindungi', 'ada', 'jadwal', 'saya', 'hrs', 'vaksin', 'ke', 'tgl', 'october', 'yg', 'bener', 'yg', 'ma'];<FreqDist with 32 samples and 43 outcomes>;['selamat', 'pagi', 'dibantu', 'vaksin', 'tgl', 'agustus', 'pakai', 'astrazeneca', 'vaksin', 'jadwal', 'tgl', 'november', 'bukti', 'surat', 'kcl', 'dksh', 'pedulilindungi', 'jadwal', 'hrs', 'vaksin', 'tgl', 'october', 'bener'];plindungi selamat pagi dibantu vaksin tanggal agustus pakai astrazeneca vaksin jadwal tanggal november bukti surat kcl dksh pedulilindungi jadwal harus vaksin tanggal october benar;selamat pagi bantu vaksin tanggal agustus pakai astrazeneca vaksin jadwal tanggal november bukti surat kcl dksh pedulilindungi jadwal harus vaksin tanggal october benar;['plindungi', 'selamat', 'pagi', 'dibantu', 'vaksin', 'tgl', 'agustus', 'pakai', 'astrazeneca', 'vaksin', 'jadwal', 'tgl', 'november', 'bukti', 'surat', 'kcl', 'dksh', 'pedulilindungi', 'jadwal', 'hrs', 'vaksin', 'tgl', 'october', 'bener']
499;499;Negatif;plindungi selamat pagi kak mohon petunjuk mengenai sertifikat vaksin dosis dua saya sejak tanggal pemberian vaksin dosis dua pada tanggal  agustus  hingga saat ini kok belum terbit ya terimakasih ð;plindungi selamat pagi kak mohon petunjuk mengenai sertifikat vaksin dosis dua saya sejak tanggal pemberian vaksin dosis dua pada tanggal agustus hingga saat ini kok belum terbit ya terimakasih;['plindungi', 'selamat', 'pagi', 'kak', 'mohon', 'petunjuk', 'mengenai', 'sertifikat', 'vaksin', 'dosis', 'dua', 'saya', 'sejak', 'tanggal', 'pemberian', 'vaksin', 'dosis', 'dua', 'pada', 'tanggal', 'agustus', 'hingga', 'saat', 'ini', 'kok', 'belum', 'terbit', 'ya', 'terimakasih'];<FreqDist with 25 samples and 29 outcomes>;['selamat', 'pagi', 'petunjuk', 'sertifikat', 'vaksin', 'dosis', 'tanggal', 'pemberian', 'vaksin', 'dosis', 'tanggal', 'agustus', 'terbit', 'terimakasih'];plindungi selamat pagi petunjuk sertifikat vaksin dosis tanggal pemberian vaksin dosis tanggal agustus terbit terimakasih;selamat pagi tunjuk sertifikat vaksin dosis tanggal beri vaksin dosis tanggal agustus terbit terimakasih;['plindungi', 'selamat', 'pagi', 'petunjuk', 'sertifikat', 'vaksin', 'dosis', 'tanggal', 'pemberian', 'vaksin', 'dosis', 'tanggal', 'agustus', 'terbit', 'terimakasih']
500;500;negatif;plindungi selamat malam min mau tanya kalau waktu vaksin tidak memberikan nomor telpon dan email cara mendapat sertifikat vaksinnya bagaimana ya karena di app peduli lindungi nya tidak muncul sertifikat nya terima kasih;plindungi selamat malam min mau tanya kalau waktu vaksin tidak memberikan nomor telpon dan email cara mendapat sertifikat vaksinnya bagaimana ya karena di app peduli lindungi nya tidak muncul sertifikat nya terima kasih;['plindungi', 'selamat', 'malam', 'min', 'mau', 'tanya', 'kalau', 'waktu', 'vaksin', 'tidak', 'memberikan', 'nomor', 'telpon', 'dan', 'email', 'cara', 'mendapat', 'sertifikat', 'vaksinnya', 'bagaimana', 'ya', 'karena', 'di', 'app', 'peduli', 'lindungi', 'nya', 'tidak', 'muncul', 'sertifikat', 'nya', 'terima', 'kasih'];<FreqDist with 30 samples and 33 outcomes>;['selamat', 'malam', 'vaksin', 'nomor', 'telpon', 'email', 'sertifikat', 'vaksinnya', 'app', 'peduli', 'lindungi', 'muncul', 'sertifikat', 'terima', 'kasih'];plindungi selamat malam vaksin nomor telpon email sertifikat vaksinnya app peduli lindungi muncul sertifikat terima kasih;selamat malam vaksin nomor telpon email sertifikat vaksin app peduli lindung muncul sertifikat terima kasih;['plindungi', 'selamat', 'malam', 'vaksin', 'nomor', 'telpon', 'email', 'sertifikat', 'vaksinnya', 'app', 'peduli', 'lindungi', 'muncul', 'sertifikat', 'terima', 'kasih']
501;501;Negatif;plindungi sekitar jam  ada notif apk peduli lindungi check in di mal sumarecon pdhl saya tidak pergi ke mall dan ga sempat ss ini siapa yg pake akunnya ;plindungi sekitar jam ada notif apk peduli lindungi check in di mal sumarecon pdhl saya tidak pergi ke mall dan ga sempat ss ini siapa yg pake akunnya;['plindungi', 'sekitar', 'jam', 'ada', 'notif', 'apk', 'peduli', 'lindungi', 'check', 'in', 'di', 'mal', 'sumarecon', 'pdhl', 'saya', 'tidak', 'pergi', 'ke', 'mall', 'dan', 'ga', 'sempat', 'ss', 'ini', 'siapa', 'yg', 'pake', 'akunnya'];<FreqDist with 28 samples and 28 outcomes>;['jam', 'notif', 'apk', 'peduli', 'lindungi', 'check', 'mal', 'sumarecon', 'pdhl', 'pergi', 'mall', 'pake', 'akunnya'];plindungi jam notif apk peduli lindungi check mal sumarecon padahal pergi mall pakai akunnya;jam notif apk peduli lindung check mal sumarecon padahal pergi mall pakai akun;['plindungi', 'jam', 'notif', 'apk', 'peduli', 'lindungi', 'check', 'mal', 'sumarecon', 'pdhl', 'pergi', 'mall', 'pake', 'akunnya']
502;502;Negatif;plindungi sayang peduli lindungi hari ini tidak bisa cek sertifikat vaksin lebih dari ð¤¦ââï¸;plindungi sayang peduli lindungi hari ini tidak bisa cek sertifikat vaksin lebih dari;['plindungi', 'sayang', 'peduli', 'lindungi', 'hari', 'ini', 'tidak', 'bisa', 'cek', 'sertifikat', 'vaksin', 'lebih', 'dari'];<FreqDist with 13 samples and 13 outcomes>;['sayang', 'peduli', 'lindungi', 'cek', 'sertifikat', 'vaksin'];plindungi sayang peduli lindungi cek sertifikat vaksin;sayang peduli lindung cek sertifikat vaksin;['plindungi', 'sayang', 'peduli', 'lindungi', 'cek', 'sertifikat', 'vaksin']
503;503;Negatif;plindungi saya udah vaksin kedua kok malah terdtaa belum vaksin sihð­ cara biar terdata gimana yaaa min;plindungi saya udah vaksin kedua kok malah terdtaa belum vaksin sih cara biar terdata gimana yaaa min;['plindungi', 'saya', 'udah', 'vaksin', 'kedua', 'kok', 'malah', 'terdtaa', 'belum', 'vaksin', 'sih', 'cara', 'biar', 'terdata', 'gimana', 'yaaa', 'min'];<FreqDist with 16 samples and 17 outcomes>;['vaksin', 'terdtaa', 'vaksin', 'terdata'];plindungi vaksin terdtaa vaksin terdata;vaksin terdtaa vaksin data;['plindungi', 'vaksin', 'terdtaa', 'vaksin', 'terdata']
504;504;Negatif;plindungi saya udah vaksin ke tanggal  oktober tapi udah seminggu lebih sertifikatnya belum tercetak gimana ya;plindungi saya udah vaksin ke tanggal oktober tapi udah seminggu lebih sertifikatnya belum tercetak gimana ya;['plindungi', 'saya', 'udah', 'vaksin', 'ke', 'tanggal', 'oktober', 'tapi', 'udah', 'seminggu', 'lebih', 'sertifikatnya', 'belum', 'tercetak', 'gimana', 'ya'];<FreqDist with 15 samples and 16 outcomes>;['vaksin', 'tanggal', 'oktober', 'seminggu', 'sertifikatnya', 'tercetak'];plindungi vaksin tanggal oktober seminggu sertifikatnya tercetak;vaksin tanggal oktober minggu sertifikat cetak;['plindungi', 'vaksin', 'tanggal', 'oktober', 'seminggu', 'sertifikatnya', 'tercetak']
505;505;Negatif;plindungi saya udah vaksin x tapi sertifikat gk keluar itu gimna ya;plindungi saya udah vaksin  tapi sertifikat gk keluar itu gimna ya;['plindungi', 'saya', 'udah', 'vaksin', 'tapi', 'sertifikat', 'gk', 'keluar', 'itu', 'gimna', 'ya'];<FreqDist with 11 samples and 11 outcomes>;['vaksin', 'sertifikat', 'gimna'];plindungi vaksin sertifikat bagaimana;vaksin sertifikat bagaimana;['plindungi', 'vaksin', 'sertifikat', 'gimna']
506;506;Negatif;plindungi saya udah dm tapi ga bales udah email tapi di suruh nunggu etah sampai kapan sedangkan data diri masih belum vaksin padahal udah ini gimana saya mau kemanakemana sedangkan harus pake pedulilindungi ð¤¦ð¤¦ð¤¦;plindungi saya udah dm tapi ga bales udah email tapi di suruh nunggu etah sampai kapan sedangkan data diri masih belum vaksin padahal udah ini gimana saya mau kemanakemana sedangkan harus pake pedulilindungi;['plindungi', 'saya', 'udah', 'dm', 'tapi', 'ga', 'bales', 'udah', 'email', 'tapi', 'di', 'suruh', 'nunggu', 'etah', 'sampai', 'kapan', 'sedangkan', 'data', 'diri', 'masih', 'belum', 'vaksin', 'padahal', 'udah', 'ini', 'gimana', 'saya', 'mau', 'kemanakemana', 'sedangkan', 'harus', 'pake', 'pedulilindungi'];<FreqDist with 28 samples and 33 outcomes>;['dm', 'bales', 'email', 'suruh', 'nunggu', 'etah', 'data', 'vaksin', 'kemanakemana', 'pake', 'pedulilindungi'];plindungi dm balas email suruh menunggu etah data vaksin kemanakemana pakai pedulilindungi;dm balas email suruh tunggu etah data vaksin kemanakemana pakai pedulilindungi;['plindungi', 'dm', 'bales', 'email', 'suruh', 'nunggu', 'etah', 'data', 'vaksin', 'kemanakemana', 'pake', 'pedulilindungi']
507;507;Negatif;plindungi saya uda di vaksin  kali tapi sertifikat nya tidak ada dan muncul nama orang lain ada kemungkinan pihak medis salah masukin input no nik sayakayak mana solusinya  httpstcotqymmoj;plindungi saya uda di vaksin kali tapi sertifikat nya tidak ada dan muncul nama orang lain ada kemungkinan pihak medis salah masukin input no nik sayakayak mana solusinya httpstcotqymmoj;['plindungi', 'saya', 'uda', 'di', 'vaksin', 'kali', 'tapi', 'sertifikat', 'nya', 'tidak', 'ada', 'dan', 'muncul', 'nama', 'orang', 'lain', 'ada', 'kemungkinan', 'pihak', 'medis', 'salah', 'masukin', 'input', 'no', 'nik', 'sayakayak', 'mana', 'solusinya', 'httpstcotqymmoj'];<FreqDist with 28 samples and 29 outcomes>;['uda', 'vaksin', 'sertifikat', 'muncul', 'nama', 'medis', 'salah', 'masukin', 'input', 'nik', 'sayakayak', 'solusinya'];plindungi sudah vaksin sertifikat muncul nama medis salah memasukkan input nik sayakayak solusinya httpstcotqymmoj;sudah vaksin sertifikat muncul nama medis salah masuk input nik sayakayak solusi;['plindungi', 'uda', 'vaksin', 'sertifikat', 'muncul', 'nama', 'medis', 'salah', 'masukin', 'input', 'nik', 'sayakayak', 'solusinya', 'httpstcotqymmoj']
508;508;Negatif;plindungi saya uda d vaksin ke dua bulam  juni  bukti nya ada sudah saya email smuatrus knpasmape skarang  oktober d status saya belum vaksin ke dua  sudah kirim email telfon inbox sosmed termasuk ini tolonglah kasi pencerahan jgn;plindungi saya uda  vaksin ke dua bulam juni bukti nya ada sudah saya email smuatrus knpasmape skarang oktober  status saya belum vaksin ke dua sudah kirim email telfon inbox sosmed termasuk ini tolonglah kasi pencerahan jgn;['plindungi', 'saya', 'uda', 'vaksin', 'ke', 'dua', 'bulam', 'juni', 'bukti', 'nya', 'ada', 'sudah', 'saya', 'email', 'smuatrus', 'knpasmape', 'skarang', 'oktober', 'status', 'saya', 'belum', 'vaksin', 'ke', 'dua', 'sudah', 'kirim', 'email', 'telfon', 'inbox', 'sosmed', 'termasuk', 'ini', 'tolonglah', 'kasi', 'pencerahan', 'jgn'];<FreqDist with 29 samples and 36 outcomes>;['uda', 'vaksin', 'bulam', 'juni', 'bukti', 'email', 'smuatrus', 'knpasmape', 'skarang', 'oktober', 'status', 'vaksin', 'kirim', 'email', 'telfon', 'inbox', 'sosmed', 'tolonglah', 'kasi', 'pencerahan'];plindungi sudah vaksin bulam juni bukti email smuatrus knpasmape sekarang oktober status vaksin kirim email telfon inbox sosmed tolonglah kasih pencerahan;sudah vaksin bulam juni bukti email smuatrus knpasmape sekarang oktober status vaksin kirim email telfon inbox sosmed tolong kasih cerah;['plindungi', 'uda', 'vaksin', 'bulam', 'juni', 'bukti', 'email', 'smuatrus', 'knpasmape', 'skarang', 'oktober', 'status', 'vaksin', 'kirim', 'email', 'telfon', 'inbox', 'sosmed', 'tolonglah', 'kasi', 'pencerahan']
509;509;Negatif;plindungi saya tidak bisa cek sertifikat vaksin warga saya apakah ada batasannya;plindungi saya tidak bisa cek sertifikat vaksin warga saya apakah ada batasannya;['plindungi', 'saya', 'tidak', 'bisa', 'cek', 'sertifikat', 'vaksin', 'warga', 'saya', 'apakah', 'ada', 'batasannya'];<FreqDist with 11 samples and 12 outcomes>;['cek', 'sertifikat', 'vaksin', 'warga', 'batasannya'];plindungi cek sertifikat vaksin warga batasannya;cek sertifikat vaksin warga batas;['plindungi', 'cek', 'sertifikat', 'vaksin', 'warga', 'batasannya']
510;510;Negatif;plindungi saya td install ulang pl kemudian tidak dapat kode aotp walau sudah minta kirim berkalikali setelah dapat kode otp sekarang vwrifikasi sellaungagal mohon bantuan ya terima kasih;plindungi saya td install ulang pl kemudian tidak dapat kode aotp walau sudah minta kirim berkalikali setelah dapat kode otp sekarang vwrifikasi sellaungagal mohon bantuan ya terima kasih;['plindungi', 'saya', 'td', 'install', 'ulang', 'pl', 'kemudian', 'tidak', 'dapat', 'kode', 'aotp', 'walau', 'sudah', 'minta', 'kirim', 'berkalikali', 'setelah', 'dapat', 'kode', 'otp', 'sekarang', 'vwrifikasi', 'sellaungagal', 'mohon', 'bantuan', 'ya', 'terima', 'kasih'];<FreqDist with 26 samples and 28 outcomes>;['td', 'install', 'ulang', 'kode', 'aotp', 'kirim', 'berkalikali', 'kode', 'otp', 'vwrifikasi', 'sellaungagal', 'bantuan', 'terima', 'kasih'];plindungi tadi install ulang kode aotp kirim berkalikali kode otp vwrifikasi sellaungagal bantuan terima kasih;tadi install ulang kode aotp kirim berkalikali kode otp vwrifikasi sellaungagal bantu terima kasih;['plindungi', 'td', 'install', 'ulang', 'kode', 'aotp', 'kirim', 'berkalikali', 'kode', 'otp', 'vwrifikasi', 'sellaungagal', 'bantuan', 'terima', 'kasih']
511;511;Negatif;plindungi saya sudah vaksin tapi status aplikasi peduli lindungi saya masih merah gmana tuh min;plindungi saya sudah vaksin tapi status aplikasi peduli lindungi saya masih merah gmana tuh min;['plindungi', 'saya', 'sudah', 'vaksin', 'tapi', 'status', 'aplikasi', 'peduli', 'lindungi', 'saya', 'masih', 'merah', 'gmana', 'tuh', 'min'];<FreqDist with 14 samples and 15 outcomes>;['vaksin', 'status', 'aplikasi', 'peduli', 'lindungi', 'merah', 'gmana'];plindungi vaksin status aplikasi peduli lindungi merah bagaimana;vaksin status aplikasi peduli lindung merah bagaimana;['plindungi', 'vaksin', 'status', 'aplikasi', 'peduli', 'lindungi', 'merah', 'gmana']
512;512;Negatif;plindungi saya sudah vaksin tapi kok sertivikat vaksinnya gk bisa di buka ya   httpstcofqbeotfk;plindungi saya sudah vaksin tapi kok sertivikat vaksinnya gk bisa di buka ya httpstcofqbeotfk;['plindungi', 'saya', 'sudah', 'vaksin', 'tapi', 'kok', 'sertivikat', 'vaksinnya', 'gk', 'bisa', 'di', 'buka', 'ya', 'httpstcofqbeotfk'];<FreqDist with 14 samples and 14 outcomes>;['vaksin', 'sertivikat', 'vaksinnya', 'buka'];plindungi vaksin sertivikat vaksinnya buka httpstcofqbeotfk;vaksin sertivikat vaksin buka;['plindungi', 'vaksin', 'sertivikat', 'vaksinnya', 'buka', 'httpstcofqbeotfk']
513;513;Negatif;plindungi saya sudah vaksin kedua tetapi sertifikat vaksin saya belum terbit  httpstcoajqykljcz;plindungi saya sudah vaksin kedua tetapi sertifikat vaksin saya belum terbit httpstcoajqykljcz;['plindungi', 'saya', 'sudah', 'vaksin', 'kedua', 'tetapi', 'sertifikat', 'vaksin', 'saya', 'belum', 'terbit', 'httpstcoajqykljcz'];<FreqDist with 10 samples and 12 outcomes>;['vaksin', 'sertifikat', 'vaksin', 'terbit'];plindungi vaksin sertifikat vaksin terbit httpstcoajqykljcz;vaksin sertifikat vaksin terbit;['plindungi', 'vaksin', 'sertifikat', 'vaksin', 'terbit', 'httpstcoajqykljcz']
514;514;Negatif;plindungi saya sudah vaksin ke  bbrp bulan lalu sampek detik ini tetep gk ada sertifikat vaksin ke   udah komplen bolak balik  urus yg bener lah klo sudah di komplen itu;plindungi saya sudah vaksin ke bbrp bulan lalu sampek detik ini tetep gk ada sertifikat vaksin ke udah komplen bolak balik urus yg bener lah klo sudah di komplen itu;['plindungi', 'saya', 'sudah', 'vaksin', 'ke', 'bbrp', 'bulan', 'lalu', 'sampek', 'detik', 'ini', 'tetep', 'gk', 'ada', 'sertifikat', 'vaksin', 'ke', 'udah', 'komplen', 'bolak', 'balik', 'urus', 'yg', 'bener', 'lah', 'klo', 'sudah', 'di', 'komplen', 'itu'];<FreqDist with 26 samples and 30 outcomes>;['vaksin', 'bbrp', 'sampek', 'detik', 'tetep', 'sertifikat', 'vaksin', 'komplen', 'bolak', 'urus', 'bener', 'komplen'];plindungi vaksin beberapa sampai detik tetap sertifikat vaksin komplen bolak urus benar komplen;vaksin beberapa sampai detik tetap sertifikat vaksin komplen bolak urus benar komplen;['plindungi', 'vaksin', 'bbrp', 'sampek', 'detik', 'tetep', 'sertifikat', 'vaksin', 'komplen', 'bolak', 'urus', 'bener', 'komplen']
515;515;Negatif;plindungi saya sudah vaksin ke   tapi status warna vaksin saya di aplikasi dan web pedulilindungi masih berwarna kuning sudah  hari masih tetap berwarna kuning ini gimana ;plindungi saya sudah vaksin ke tapi status warna vaksin saya di aplikasi dan web pedulilindungi masih berwarna kuning sudah hari masih tetap berwarna kuning ini gimana;['plindungi', 'saya', 'sudah', 'vaksin', 'ke', 'tapi', 'status', 'warna', 'vaksin', 'saya', 'di', 'aplikasi', 'dan', 'web', 'pedulilindungi', 'masih', 'berwarna', 'kuning', 'sudah', 'hari', 'masih', 'tetap', 'berwarna', 'kuning', 'ini', 'gimana'];<FreqDist with 20 samples and 26 outcomes>;['vaksin', 'status', 'warna', 'vaksin', 'aplikasi', 'web', 'pedulilindungi', 'berwarna', 'kuning', 'berwarna', 'kuning'];plindungi vaksin status warna vaksin aplikasi web pedulilindungi berwarna kuning berwarna kuning;vaksin status warna vaksin aplikasi web pedulilindungi warna kuning warna kuning;['plindungi', 'vaksin', 'status', 'warna', 'vaksin', 'aplikasi', 'web', 'pedulilindungi', 'berwarna', 'kuning', 'berwarna', 'kuning']
516;516;Negatif;plindungi saya sudah vaksin dosis keduatetapi di aplikasi peduli lindungi tidak muncul sertifikat vaksin dosis keduanya  bagaimana cara mengatasinya pakbu ;plindungi saya sudah vaksin dosis keduatetapi di aplikasi peduli lindungi tidak muncul sertifikat vaksin dosis keduanya bagaimana cara mengatasinya pakbu;['plindungi', 'saya', 'sudah', 'vaksin', 'dosis', 'keduatetapi', 'di', 'aplikasi', 'peduli', 'lindungi', 'tidak', 'muncul', 'sertifikat', 'vaksin', 'dosis', 'keduanya', 'bagaimana', 'cara', 'mengatasinya', 'pakbu'];<FreqDist with 18 samples and 20 outcomes>;['vaksin', 'dosis', 'keduatetapi', 'aplikasi', 'peduli', 'lindungi', 'muncul', 'sertifikat', 'vaksin', 'dosis', 'mengatasinya', 'pakbu'];plindungi vaksin dosis keduatetapi aplikasi peduli lindungi muncul sertifikat vaksin dosis mengatasinya pakbu;vaksin dosis keduatetapi aplikasi peduli lindung muncul sertifikat vaksin dosis atas pakbu;['plindungi', 'vaksin', 'dosis', 'keduatetapi', 'aplikasi', 'peduli', 'lindungi', 'muncul', 'sertifikat', 'vaksin', 'dosis', 'mengatasinya', 'pakbu']
517;517;Negatif;plindungi saya sudah vaksin dosis  tapi sertifikatnya sudah  minggu masih belum keluar saya harus bagaimana ya;plindungi saya sudah vaksin dosis tapi sertifikatnya sudah minggu masih belum keluar saya harus bagaimana ya;['plindungi', 'saya', 'sudah', 'vaksin', 'dosis', 'tapi', 'sertifikatnya', 'sudah', 'minggu', 'masih', 'belum', 'keluar', 'saya', 'harus', 'bagaimana', 'ya'];<FreqDist with 14 samples and 16 outcomes>;['vaksin', 'dosis', 'sertifikatnya', 'minggu'];plindungi vaksin dosis sertifikatnya minggu;vaksin dosis sertifikat minggu;['plindungi', 'vaksin', 'dosis', 'sertifikatnya', 'minggu']
518;518;Negatif;plindungi saya sudah vaksin xada kartu vaksin sari puskesmas setempattetapi saat mau unduh sertipikat vaksinada keterangan jenis vaksin tidak di temukan  solusinya bagaimana;plindungi saya sudah vaksin xada kartu vaksin sari puskesmas setempattetapi saat mau unduh sertipikat vaksinada keterangan jenis vaksin tidak di temukan solusinya bagaimana;['plindungi', 'saya', 'sudah', 'vaksin', 'xada', 'kartu', 'vaksin', 'sari', 'puskesmas', 'setempattetapi', 'saat', 'mau', 'unduh', 'sertipikat', 'vaksinada', 'keterangan', 'jenis', 'vaksin', 'tidak', 'di', 'temukan', 'solusinya', 'bagaimana'];<FreqDist with 21 samples and 23 outcomes>;['vaksin', 'xada', 'kartu', 'vaksin', 'sari', 'puskesmas', 'setempattetapi', 'unduh', 'sertipikat', 'vaksinada', 'keterangan', 'jenis', 'vaksin', 'temukan', 'solusinya'];plindungi vaksin xada kartu vaksin sari puskesmas setempattetapi unduh sertipikat vaksinada keterangan jenis vaksin temukan solusinya;vaksin xada kartu vaksin sari puskesmas setempattetapi unduh sertipikat vaksinada terang jenis vaksin temu solusi;['plindungi', 'vaksin', 'xada', 'kartu', 'vaksin', 'sari', 'puskesmas', 'setempattetapi', 'unduh', 'sertipikat', 'vaksinada', 'keterangan', 'jenis', 'vaksin', 'temukan', 'solusinya']
519;519;Negatif;plindungi saya sudah vaksin x tapi mengapa sampai sekarang saya belum dapat kode sertifikatnya belum keluar;plindungi saya sudah vaksin  tapi mengapa sampai sekarang saya belum dapat kode sertifikatnya belum keluar;['plindungi', 'saya', 'sudah', 'vaksin', 'tapi', 'mengapa', 'sampai', 'sekarang', 'saya', 'belum', 'dapat', 'kode', 'sertifikatnya', 'belum', 'keluar'];<FreqDist with 13 samples and 15 outcomes>;['vaksin', 'kode', 'sertifikatnya'];plindungi vaksin kode sertifikatnya;vaksin kode sertifikat;['plindungi', 'vaksin', 'kode', 'sertifikatnya']
520;520;Negatif;plindungi saya sudah melakukan vaksinasi tapi sepertinya nik saya ada kesalahan cara memperbaiki nya gimana yah;plindungi saya sudah melakukan vaksinasi tapi sepertinya nik saya ada kesalahan cara memperbaiki nya gimana yah;['plindungi', 'saya', 'sudah', 'melakukan', 'vaksinasi', 'tapi', 'sepertinya', 'nik', 'saya', 'ada', 'kesalahan', 'cara', 'memperbaiki', 'nya', 'gimana', 'yah'];<FreqDist with 15 samples and 16 outcomes>;['vaksinasi', 'nik', 'kesalahan', 'memperbaiki'];plindungi vaksinasi nik kesalahan memperbaiki;vaksinasi nik salah baik;['plindungi', 'vaksinasi', 'nik', 'kesalahan', 'memperbaiki']
521;521;Negatif;plindungi saya sudah melakukan vaksin ke dua tanggal  september kemarin tapi sertifikat nya ga keluar kemaren juga kertasnya tulisan tangan gimana yah solusinya masa saya harus vaksin lagi sakit ga mau;plindungi saya sudah melakukan vaksin ke dua tanggal september kemarin tapi sertifikat nya ga keluar kemaren juga kertasnya tulisan tangan gimana yah solusinya masa saya harus vaksin lagi sakit ga mau;['plindungi', 'saya', 'sudah', 'melakukan', 'vaksin', 'ke', 'dua', 'tanggal', 'september', 'kemarin', 'tapi', 'sertifikat', 'nya', 'ga', 'keluar', 'kemaren', 'juga', 'kertasnya', 'tulisan', 'tangan', 'gimana', 'yah', 'solusinya', 'masa', 'saya', 'harus', 'vaksin', 'lagi', 'sakit', 'ga', 'mau'];<FreqDist with 28 samples and 31 outcomes>;['vaksin', 'tanggal', 'september', 'kemarin', 'sertifikat', 'kemaren', 'kertasnya', 'tulisan', 'tangan', 'solusinya', 'vaksin', 'sakit'];plindungi vaksin tanggal september kemarin sertifikat kemarin kertasnya tulisan tangan solusinya vaksin sakit;vaksin tanggal september kemarin sertifikat kemarin kertas tulis tangan solusi vaksin sakit;['plindungi', 'vaksin', 'tanggal', 'september', 'kemarin', 'sertifikat', 'kemaren', 'kertasnya', 'tulisan', 'tangan', 'solusinya', 'vaksin', 'sakit']
522;522;Negatif;plindungi saya sudah melakukan vaksin ke dua tanggal  kemarin tapi sertifikat nya ga keluar kemaren juga kertasnya tulisan tangan gimana yah solusinya masa saya harus vaksin lagi sakit ga mau;plindungi saya sudah melakukan vaksin ke dua tanggal kemarin tapi sertifikat nya ga keluar kemaren juga kertasnya tulisan tangan gimana yah solusinya masa saya harus vaksin lagi sakit ga mau;['plindungi', 'saya', 'sudah', 'melakukan', 'vaksin', 'ke', 'dua', 'tanggal', 'kemarin', 'tapi', 'sertifikat', 'nya', 'ga', 'keluar', 'kemaren', 'juga', 'kertasnya', 'tulisan', 'tangan', 'gimana', 'yah', 'solusinya', 'masa', 'saya', 'harus', 'vaksin', 'lagi', 'sakit', 'ga', 'mau'];<FreqDist with 27 samples and 30 outcomes>;['vaksin', 'tanggal', 'kemarin', 'sertifikat', 'kemaren', 'kertasnya', 'tulisan', 'tangan', 'solusinya', 'vaksin', 'sakit'];plindungi vaksin tanggal kemarin sertifikat kemarin kertasnya tulisan tangan solusinya vaksin sakit;vaksin tanggal kemarin sertifikat kemarin kertas tulis tangan solusi vaksin sakit;['plindungi', 'vaksin', 'tanggal', 'kemarin', 'sertifikat', 'kemaren', 'kertasnya', 'tulisan', 'tangan', 'solusinya', 'vaksin', 'sakit']
